Title,Vote_Average,Vote_Count,Weighted_Average
the darkest minds,7.036,2742.0,6.844755337164569
the spy who dumped me,6.396,2163.0,6.317028312885813
the miseducation of cameron post,6.9,932.0,6.549558807993452
never goin' back,6.029,85.0,6.058355245570211
dog days,6.677,262.0,6.234943358804195
the meg,6.257,7447.0,6.240910707207775
blackkklansman,7.513,7361.0,7.391954452796104
slender man,4.299,1949.0,4.7500359718997744
a prayer before dawn,6.743,549.0,6.3687450454516075
elizabeth harvest,6.2,329.0,6.107500711116626
crazy rich asians,7.065,3546.0,6.9056174597736035
alpha,6.51,2494.0,6.4151495608108435
mile 22,6.219,2146.0,6.181664492331501
the wife,7.067,1041.0,6.673489310581829
billionaire boys club,5.7,453.0,5.916022449158958
"juliet, naked",6.312,463.0,6.164209364876885
down a dark hall,5.569,665.0,5.8164630789554375
to all the boys i've loved before,7.621,8244.0,7.503827373839524
the happytime murders,5.73,967.0,5.865915217107825
searching,7.581,3745.0,7.350495630895925
papillon,7.849,1847.0,7.373339773701036
a.x.l.,6.28,1145.0,6.199555487826728
operation finale,6.704,954.0,6.439168233008319
kin,6.117,81.0,6.068002943282969
destination wedding,5.78,722.0,5.915770984486717
reprisal,5.3,277.0,5.839169176774561
the nun,5.893,6498.0,5.908804019308804
peppermint,6.722,1992.0,6.555904286403272
the predator,5.629,4494.0,5.685189622464273
white boy rick,6.333,1031.0,6.226288189538807
a simple favor,6.632,4046.0,6.551031639186919
the children act,6.583,599.0,6.3079670688774705
lizzie,6.208,257.0,6.102534207557184
unbroken: path to redemption,6.629,139.0,6.15948604500063
hell house llc ii: the abaddon hotel,5.6,139.0,5.982686292219419
the house with a clock in its walls,6.24,2093.0,6.196856029824651
life itself,7.2,530.0,6.5646610086712585
the sisters brothers,6.821,1868.0,6.620654535226756
assassination nation,6.277,808.0,6.179573214076799
little italy,6.686,617.0,6.36119285967794
colette,6.915,881.0,6.546555906128633
fahrenheit 11/9,7.188,420.0,6.495920376518816
"love, gilda",7.2,40.0,6.126187620289451
smallfoot,6.789,1474.0,6.561837318286152
night school,6.155,1596.0,6.12752568861673
the old man & the gun,6.424,1355.0,6.304253437237289
hell fest,5.665,784.0,5.847973322149594
venom,6.829,15455.0,6.797134152583287
a star is born,7.503,11461.0,7.42341737782586
the great buster: a celebration,7.1,52.0,6.136832701392673
first man,7.046,5122.0,6.932183220028576
bad times at the el royale,6.838,3464.0,6.712246059604622
goosebumps 2: haunted halloween,6.116,1457.0,6.099015143585101
beautiful boy,7.563,2419.0,7.237452318033509
the oath,5.7,93.0,6.017946540505255
gosnell: the trial of america's biggest serial killer,5.7,42.0,6.040720801131334
after everything,6.94,781.0,6.53461971771572
halloween,6.553,4573.0,6.490265536983694
the hate u give,8.132,2068.0,7.625481815341676
can you ever forgive me?,6.807,1228.0,6.5440406798764545
mid90s,7.5,1535.0,7.063080821045583
wildlife,6.66,680.0,6.363254229930007
what they had,6.5,110.0,6.123837449237834
my dinner with hervé,6.311,114.0,6.098274503068252
hunter killer,6.876,2085.0,6.6780592415265
johnny english strikes again,6.274,2402.0,6.227780341928876
suspiria,6.9,2413.0,6.717902436070552
indivisible,6.9,73.0,6.144405397584805
bullitt county,5.2,10.0,6.049401780008103
bohemian rhapsody,7.987,16567.0,7.912178581563237
the nutcracker and the four realms,6.084,2078.0,6.078655462301859
nobody's fool,6.839,289.0,6.296208769974463
boy erased,7.042,1350.0,6.7169768368344105
the other side of the wind,6.739,205.0,6.220672240463439
a private war,6.794,488.0,6.370522634201649
bodied,7.214,112.0,6.227060371362545
the front runner,5.887,342.0,6.002912263246551
the grinch,6.856,3808.0,6.7372133118368716
the girl in the spider's web,6.15,1302.0,6.120128402842551
overlord,6.701,2763.0,6.576305333645648
the ballad of buster scruggs,7.148,3903.0,6.988899455588347
lazer team 2,5.743,37.0,6.045380778508501
fantastic beasts: the crimes of grindelwald,6.862,10604.0,6.814461700408507
widows,6.493,2240.0,6.393784608386773
green book,8.242,11281.0,8.119788738214837
instant family,7.527,2859.0,7.248876795241006
ralph breaks the internet,7.193,7375.0,7.098815190852146
creed ii,7.03,5283.0,6.921062188880482
robin hood,7.303,4230.0,7.133323104164389
roma,7.2,303.0,6.416437009666505
the favourite,7.517,5329.0,7.354506786198618
mowgli: legend of the jungle,6.482,2433.0,6.391330715567356
the possession of hannah grace,5.602,1286.0,5.759593665851488
the cabin,7.1,6.0,6.071291731369097
mary queen of scots,6.57,1734.0,6.428441435276835
ben is back,6.639,892.0,6.391537266584833
spider-man: into the spider-verse,8.405,15153.0,8.305792720116633
mortal engines,6.202,4542.0,6.184013279049407
the mule,6.845,4827.0,6.749573987703386
if beale street could talk,6.944,1093.0,6.608840164722354
mary poppins returns,6.511,3240.0,6.434074989873531
aquaman,6.895,13784.0,6.856390840625813
bumblebee,6.726,5935.0,6.65865302201446
welcome to marwen,6.554,1106.0,6.368421852705805
second act,6.352,1164.0,6.2460857199593836
holmes & watson,4.274,826.0,5.0748109695223995
vice,7.0,3247.0,6.839569366965921
on the basis of sex,7.4,986.0,6.85869155217724
destroyer,5.884,682.0,5.972249415980407
shazam!,7.016,9283.0,6.951785512951422
pet sematary,5.738,3127.0,5.795185464947462
the best of enemies,7.374,410.0,6.5601233429680645
high life,5.759,1056.0,5.876649600466692
unicorn store,5.9,826.0,5.97258904438871
the haunting of sharon tate,4.534,190.0,5.7244804772157085
the wind,5.668,304.0,5.939081324851653
native son,5.5,82.0,6.000788843624348
the silence,6.024,1496.0,6.035778952172443
hellboy,6.668,6679.0,6.6127589073895106
little,6.839,677.0,6.452558433857098
missing link,6.959,824.0,6.556766539762723
after,7.129,8091.0,7.047406941034756
her smell,5.8,117.0,6.0231171669701515
breakthrough,7.618,1039.0,7.008013581278824
penguins,6.965,43.0,6.11653325442568
the curse of la llorona,5.692,2352.0,5.774049374720552
under the silver lake,6.403,1334.0,6.289019566070613
family,6.5,57.0,6.096414319677455
fast color,5.914,192.0,6.029096531792934
someone great,6.374,1137.0,6.2583459935835695
i spit on your grave: deja vu,3.027,113.0,5.624066679955951
avengers: endgame,8.254,25043.0,8.196885435787559
i trapped the devil,5.025,80.0,5.951457613874013
body at brighton rock,5.1,60.0,5.983004397815767
buffaloed,6.7,225.0,6.222450514419564
long shot,6.735,2594.0,6.596869856129139
the intruder,6.064,556.0,6.062950416317707
uglydolls,6.641,419.0,6.284822966396244
"extremely wicked, shockingly evil and vile",7.014,3256.0,6.851547939481791
the last summer,6.001,1350.0,6.021259015052233
pokémon detective pikachu,6.933,6630.0,6.853066193206234
the hustle,6.196,2428.0,6.167037188639609
tolkien,6.966,1374.0,6.669705093153381
poms,6.6,205.0,6.188106526177726
the professor and the madman,7.147,1129.0,6.742943974655647
john wick: chapter 3 – parabellum,7.444,10307.0,7.359652109903026
a dog's journey,8.052,1436.0,7.418929349670232
the sun is also a star,6.975,570.0,6.4817283954883145
the professor,6.872,1099.0,6.565246585870836
the souvenir,6.0,243.0,6.045556637903077
the tomorrow man,5.746,59.0,6.036498231008929
aladdin,7.652,10993.0,7.560664426854626
brightburn,6.129,3038.0,6.116908093421118
booksmart,7.035,2552.0,6.832685664309594
the perfection,6.479,1307.0,6.337706732627977
always be my maybe,6.644,1287.0,6.444773229640015
deadwood: the movie,6.75,362.0,6.303384893803789
godzilla: king of the monsters,6.705,5981.0,6.640234282123818
rocketman,7.328,4528.0,7.1648282436332265
ma,5.8,2128.0,5.862756687064156
dark phoenix,5.98,6319.0,5.987868537760125
the secret life of pets 2,6.962,2938.0,6.794886144790884
late night,6.425,777.0,6.256957989222881
the last black man in san francisco,7.1,313.0,6.392566846801128
changeland,5.767,75.0,6.032373436785919
men in black: international,5.917,4746.0,5.934947416987723
shaft,6.002,1231.0,6.023174755605213
the dead don't die,5.428,2434.0,5.564866369331672
murder mystery,6.277,4323.0,6.248160266454138
plus one,0.0,0.0,6.062079418515686
being frank,6.833,39.0,6.104485487172791
toy story 4,7.501,9544.0,7.406612219542346
anna,6.718,2615.0,6.5842201553745845
child's play,6.703,2846.0,6.580867807282568
annabelle comes home,6.419,3380.0,6.359953879112471
yesterday,6.705,3790.0,6.608417760180608
ophelia,7.2,540.0,6.569911744136785
killers anonymous,4.715,191.0,5.763249954013368
spider-man: far from home,7.429,15281.0,7.371584365268981
escape plan: the extractors,5.389,812.0,5.693293664241235
midsommar,7.2,6819.0,7.098196449513354
stuber,6.631,1242.0,6.431639754396188
crawl,6.309,3018.0,6.264141868331213
point blank,6.016,521.0,6.041922091020579
the farewell,7.434,1360.0,6.981198625815522
