Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
photograph,nawazuddin siddiqui sanya malhotra sachin khedekar denzil smith brinda trivedi lubna salim rajesh kumar sharma shihaan bakshi akash sinha seema pravin shende robin das bhagwan das patel ashok pathak amarjeet singh,drama romance,6.0,3.0,nawazuddin siddiqui sanya malhotra sachin khedekar denzil smith brinda trivedi lubna salim rajesh kumar sharma shihaan bakshi akash sinha seema pravin shende robin das bhagwan das patel ashok pathak amarjeet singh drama romance
risknamaa,garima agarwal anupama parveen bansala mahaveer singh fauji javed haider shahbaaz khan sachin khari pramod moutho aarun nagar khyati sharma ravi sharma shashikant sharma,n a,0.0,0.0,garima agarwal anupama parveen bansala mahaveer singh fauji javed haider shahbaaz khan sachin khari pramod moutho aarun nagar khyati sharma ravi sharma shashikant sharma n a
mere pyare prime minister,rasika agashe sonia albizuri syna anand adarsh bharti makrand deshpande om kanojiya atul kulkarni anjali patil prasad nachiket purnapatre niteesh wadhwa,drama,6.4,8.0,rasika agashe sonia albizuri syna anand adarsh bharti makrand deshpande om kanojiya atul kulkarni anjali patil prasad nachiket purnapatre niteesh wadhwa drama
22 yards,barun sobti rajit kapur panchhi bora kartikey tripathi,drama,10.0,1.0,barun sobti rajit kapur panchhi bora kartikey tripathi drama
kesari,akshay kumar parineeti chopra suvinder vicky vansh bhardwaj sumeet basran ajit singh sandeep nahar harwinder singh aujla rakesh sharma adhrit sharma vivek saini harbhagwan singh rajdeep singh dhaliwal gurpreet toti,action fantasy,0.0,0.0,akshay kumar parineeti chopra suvinder vicky vansh bhardwaj sumeet basran ajit singh sandeep nahar harwinder singh aujla rakesh sharma adhrit sharma vivek saini harbhagwan singh rajdeep singh dhaliwal gurpreet toti action fantasy
notebook,zaheer iqbal pranutan bahl mir mohammed mehroos mir mohammed zayan soliha maqbool baba hatim adiba bhat hafsa ashraf madikha bareen mozim bhat mir sarwar hemant kher shrysh zutshi,romance drama,5.8,16.0,zaheer iqbal pranutan bahl mir mohammed mehroos mir mohammed zayan soliha maqbool baba hatim adiba bhat hafsa ashraf madikha bareen mozim bhat mir sarwar hemant kher shrysh zutshi romance drama
junglee,vidyut jammwal lars kjeldsen,drama,0.0,0.0,vidyut jammwal lars kjeldsen drama
gone kesh,deepika amin kumar kanchan ghosh brijendra kala jitendra kumar mukesh pandey santosh rai vipin sharma,,6.6,8.0,deepika amin kumar kanchan ghosh brijendra kala jitendra kumar mukesh pandey santosh rai vipin sharma 
albert pinto ko gussa kyun aata hai?,manav kaul nandita das,crime drama,4.5,2.0,manav kaul nandita das crime drama
the tashkent files,naseeruddin shah mithun chakraborty shweta basu prasad pankaj tripathi vinay pathak mandira bedi rajesh sharma prakash belawadi ankur rathee,drama mystery thriller history,7.356,45.0,naseeruddin shah mithun chakraborty shweta basu prasad pankaj tripathi vinay pathak mandira bedi rajesh sharma prakash belawadi ankur rathee drama mystery thriller history
kalank,varun dhawan alia bhatt aditya roy kapoor madhuri dixit sonakshi sinha sanjay dutt kunal khemu pawan chopra,drama romance,5.63,50.0,varun dhawan alia bhatt aditya roy kapoor madhuri dixit sonakshi sinha sanjay dutt kunal khemu pawan chopra drama romance
setters,shreyas talpade aftab shivdasani sonnalli seygall ishita dutta pavan malhotra vijay raaz manu rishi chadha anil charanjeett pankaj jha jameel khan niharika kundu tanuka laghate venus singh neeraj sood,crime thriller,4.4,5.0,shreyas talpade aftab shivdasani sonnalli seygall ishita dutta pavan malhotra vijay raaz manu rishi chadha anil charanjeett pankaj jha jameel khan niharika kundu tanuka laghate venus singh neeraj sood crime thriller
student of the year 2,tiger shroff ananya panday tara sutaria aditya seal manoj pahwa ayesha raza rajesh kumar manasi joshi roy samir soni gul panag manjot singh sahil anand harsh beniwal daljeet singh gujral,romance comedy drama,4.662,65.0,tiger shroff ananya panday tara sutaria aditya seal manoj pahwa ayesha raza rajesh kumar manasi joshi roy samir soni gul panag manjot singh sahil anand harsh beniwal daljeet singh gujral romance comedy drama
