genre,movie_name,cast,director,TMDB_Genre,Vote_Average,Vote_Count
"Comedy, Romance",Vicky Donor,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia",Shoojit Sircar,"Comedy, Romance",6.768,165.0
"Action, Comedy, Drama",Bodyguard,"Salman Khan, Kareena Kapoor, Raj Babbar, Hazel Keech",Siddique,"Drama, Action, Romance",5.233,133.0
"Mystery, Thriller",Kahaani 2,"Vidya Balan, Arjun Rampal, Jugal Hansraj, Kharaj Mukherjee",Sujoy Ghosh,"Thriller, Mystery",6.67,53.0
"Action, Drama, Fantasy",Malaikottai Vaaliban,"Mohanlal, Sonalee Kulkarni, Hareesh Peradi, Rajeev Pillai",Lijo Jose Pellissery,"Action, Drama, Fantasy",6.455,12.0
"Action, Thriller",Bellbottom,"Akshay Kumar, Huma Qureshi, Lara Dutta, Vaani Kapoor",Ranjit Tewari,"Animation, Action, Crime, Music",9.3,3.0
"Biography, Comedy, Drama",Kaagaz,"Pankaj Tripathi, Monal Gajjar, Mita Vashisht, Amar Upadhyay",Satish Kaushik,Drama,0.0,0.0
"Crime, Drama",Salaam Bombay!,"Shafiq Syed, Anjaan, Amrit Patel, Murari Sharma",Mira Nair,"Crime, Drama",7.317,93.0
"Comedy, Drama, Romance",Meri Pyaari Bindu,"Ayushmann Khurrana, Parineeti Chopra, Nishant Dahiya, Prakash Belawadi",Akshay Roy,"Drama, Romance",6.171,38.0
"Comedy, Drama, Romance",Namastey London,"Akshay Kumar, Katrina Kaif, Rishi Kapoor, Clive Standen",Vipul Amrutlal Shah,"Comedy, Drama, Romance",6.168,104.0
"Comedy, Crime, Drama",Welcome,"Akshay Kumar, Katrina Kaif, Nana Patekar, Anil Kapoor",Anees Bazmee,"Comedy, Romance, Crime, Family",6.8,144.0
"Crime, Drama, Musical",Baazigar,"Shah Rukh Khan, Kajol, Dalip Tahil, Rakhee Gulzar","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Music, Crime, Comedy, Adventure",0.0,0.0
"Action, Comedy, Romance",Main Tera Hero,"Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Arunoday Singh",David Dhawan,"Romance, Comedy",5.357,115.0
"Action, Crime, Drama",Singham Returns,"Ajay Devgn, Kareena Kapoor, Amole Gupte, Anupam Kher",Rohit Shetty,Action,5.988,85.0
"Action, Adventure, Comedy",Jagga Jasoos,"Ranbir Kapoor, Katrina Kaif, Saswata Chatterjee, Chitrak Bandyopadhyay","Anurag Basu, Shubzz","Adventure, Comedy, Mystery, Romance",6.128,90.0
"Adventure, Drama",India Lockdown,"Prateik Patil Babbar, Sai Tamhankar, Shweta Basu Prasad, Prakash Belawadi",Madhur Bhandarkar,"Drama, Adventure",4.4,9.0
Drama,Parched,"Tannishtha Chatterjee, Radhika Apte, Surveen Chawla, Lehar Khan",Leena Yadav,Drama,7.4,85.0
"Biography, Drama, War",Sam Bahadur,"Sanya Malhotra, Vicky Kaushal, Fatima Sana Shaikh, Mohd. Zeeshan Ayyub",Meghna Gulzar,"Drama, History, War",7.2,20.0
 ,Hera Pheri 3,"Akshay Kumar, Paresh Rawal, Suniel Shetty, Sanjay Dutt",Farhad Samji,Comedy,0.0,0.0
"Action, Crime, Drama",Malang - Unleash the Madness,"Aditya Roy Kapoor, Anil Kapoor, Disha Patani, Kunal Kemmu",Mohit Suri,,,
"Action, Adventure, Comedy",Aladin,"Amitabh Bachchan, Sanjay Dutt, Riteish Deshmukh, Jacqueline Fernandez",Sujoy Ghosh,"Fantasy, Drama, Romance, Adventure, Comedy",6.2,93.0
"Action, Drama, Thriller",Madras Cafe,"John Abraham, Nargis Fakhri, Raashi Khanna, Dinesh Prabhakar",Shoojit Sircar,"Thriller, Drama, Action",6.563,112.0
"Action, Crime, Thriller",Race 3,"Anil Kapoor, Salman Khan, Bobby Deol, Jacqueline Fernandez",Remo D'Souza,"Thriller, Action, Crime, Adventure",4.008,63.0
"Crime, Drama, Thriller",Mrs. Serial Killer,"Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Zayn Marie Khan",Shirish Kunder,Thriller,6.3,79.0
"Biography, Drama, Music",Any Body Can Dance 2,"Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Lauren Gottlieb",Remo D'Souza,Drama,5.551,79.0
"Comedy, Drama, Romance",Manmarziyaan,"Taapsee Pannu, Abhishek Bachchan, Vicky Kaushal, Jasmin Bajwa",Anurag Kashyap,"Romance, Drama",7.0,57.0
"Action, Drama, Romance",Tere Naam,"Salman Khan, Bhoomika Chawla, Sachin Khedekar, Savita Prabhune",Satish Kaushik,"Action, Drama, Romance, Thriller",6.5,73.0
"Comedy, Drama, Romance",Tiku weds Sheru,"Nawazuddin Siddiqui, Avneet Kaur, Rahoul, Mukesh S. Bhatt",Sai Kabir,"Comedy, Drama, Family",6.063,8.0
"Action, Comedy, Romance",Housefull 3,"Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, Jackie Shroff","Sajid, Farhad Samji","Comedy, Romance",5.113,93.0
"Comedy, Drama, Romance",Toilet - Ek Prem Katha,"Akshay Kumar, Anupam Kher, Bhumi Pednekar, Divyendu Sharma",Shree Narayan Singh,"Comedy, Drama, Romance",6.8,185.0
"Drama, Romance, Thriller",Aitraaz,"Akshay Kumar, Kareena Kapoor, Priyanka Chopra Jonas, Amrish Puri","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Thriller, Romance",5.882,55.0
"Comedy, Drama, Romance",2 States,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathi",Abhishek Varman,"Comedy, Romance, Drama",6.514,142.0
"Action, Drama, Romance",Sadak,"Sanjay Dutt, Pooja Bhatt, Deepak Tijori, Sadashiv Amrapurkar",Mahesh Bhatt,,0.0,0.0
"Crime, Drama, Thriller",Bob Biswas,"Abhishek Bachchan, Chitrangda Singh, Paran Banerjee, Kaushik Chakraborty",Diya Annapurna Ghosh,"Crime, Action, Thriller",6.8,13.0
"Action, Drama, Musical",Johny Mera Naam,"Dev Anand, Hema Malini, Pran Sikand, Jeevan Dhar",Vijay Anand,"Thriller, Music, Action, Drama, Family",7.3,3.0
"Comedy, Crime, Drama",Ladies vs. Ricky Bahl,"Ranveer Singh, Anushka Sharma, Parineeti Chopra, Dipannita Sharma",Maneesh Sharma,"Comedy, Drama, Romance",5.956,68.0
"Crime, Drama, Mystery",Johnny Gaddaar,"Dharmendra, Rimi Sen, Ashwini Kalsekar, Neil Nitin Mukesh",Sriram Raghavan,"Crime, Drama, Mystery, Thriller",6.9,55.0
"Action, Crime, Thriller",Thunivu,"Ajith Kumar, Manju Warrier, Samuthirakani, John Kokken",H. Vinoth,Drama,0.0,0.0
"Drama, Romance",Photograph,"Nawazuddin Siddiqui, Sanya Malhotra, Sachin Khedekar, Denzil Smith",Ritesh Batra,"Drama, Romance",6.0,3.0
"Action, Comedy, Drama",Tashan,"Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor",Vijay Krishna Acharya,"Action, Romance",4.557,35.0
"Drama, Musical, Romance",Taal,"Akshaye Khanna, Anil Kapoor, Aishwarya Rai Bachchan, Alok Nath",Subhash Ghai,"Drama, Romance",6.489,46.0
"Action, Sci-Fi, Thriller",Krrish 4,"Hrithik Roshan, Preity G Zinta, Naseeruddin Shah, Rekha",Karan Malhotra,"Action, Science Fiction",0.0,0.0
Comedy,Hum Do Hamare Do,"Rajkummar Rao, Kriti Sanon, Paresh Rawal, Ratna Pathak Shah",Abhishek Jain,"Comedy, Drama, Family",5.1,14.0
"Action, Thriller",Saaho,"Prabhas, Shraddha Kapoor, Jackie Shroff, Neil Nitin Mukesh",Sujeeth,"Action, Adventure, Thriller",5.82,87.0
"Comedy, Drama, Family",We Are Family,"Kareena Kapoor, Kajol, Iravati Harshe, Arjun Rampal",Malhotra P. Siddharth,Comedy,6.3,207.0
