movieId,title,genres
778946,Mission Majnu,"Thriller, Action, Drama, History"
86004,Talaash,"Crime, Drama, Thriller"
393445,Ae Dil Hai Mushkil,"Romance, Drama"
19703,A Wednesday,"Drama, Thriller"
491629,Raazi,"Thriller, Action, Drama, History"
430508,Wajah Tum Ho,"Drama, Mystery, Romance, Thriller"
14752,Dil Chahta Hai,"Drama, Romance"
1111392,Darlings,
766116,Runway 34,"Thriller, Drama"
336203,Masaan,Drama
11712,Sanju,"Drama, Action, Comedy"
663457,Govinda Naam Mera,"Comedy, Drama, Romance"
79464,Rockstar,"Drama, Music, Romance"
40000,Mom,"Comedy, Horror"
556271,Kalank,"Drama, Romance"
597089,Article 15,"Crime, Drama, Thriller"
319570,Shehzada,
530154,Lust Stories,"Drama, Romance"
75825,Zero,"Animation, Drama"
897525,A Thursday,"Crime, Drama"
7913,Rang De Basanti,"Comedy, Drama, History, Romance"
607145,Rocketry: The Nambi Effect,"Drama, History"
159164,Dilwale,"Action, Drama, Romance"
765019,Jug Jugg Jeeyo,"Comedy, Drama"
491625,Gully Boy,"Drama, Music"
205022,Chennai Express,"Romance, Comedy, Action"
10431,War,"Action, Thriller"
503129,Student of the Year 2,"Romance, Comedy, Drama"
599925,Shershaah,"Action, Drama, Thriller, War"
341033,Qala,Drama
353464,Talvar,"Thriller, Drama, Mystery"
864573,Kuttey,"Comedy, Crime, Thriller"
805785,Fukrey 3,"Comedy, Drama"
763788,Dangerous,"Action, Thriller"
755408,Bang Bang,"Action, Crime, Thriller"
60579,Hey Ram,"History, Drama, Crime"
601337,83,"Drama, History"
235984,Goliyon Ki Rasleela Ram-Leela,"Drama, Romance"
926130,Selfiee,"Comedy, Drama"
4251,Veer-Zaara,"Drama, Romance"
472138,Thugs of Hindostan,"Adventure, Action"
1081726,Bheed,Drama
14395,Kabhi Alvida Naa Kehna,"Drama, Romance"
754716,Badhaai Do,"Comedy, Drama"
1209723,Prem Ki Shaadi,"Romance, Drama"
601643,Ghost Stories,Horror
857598,Pushpa: The Rule - Part 2,"Crime, Action, Adventure, Thriller"
507076,Climax,"Horror, Drama"
767586,Stree,
480,Monsoon Wedding,"Comedy, Drama, Romance"
67109,Delhi Belly,"Action, Comedy"
1131409,Mission Raniganj,"Drama, Action, Thriller"
14134,Main Hoon Na,Drama
80156,Gadar: Ek Prem Katha,"Action, Drama, Romance, History"
1106108,Bhagwan Bharose,"Drama, Comedy, Family"
340922,Omkara,
14163,Chak De! India,Drama
11518,Mohabbatein,"Drama, Romance"
204435,Krrish 3,"Action, Science Fiction"
577328,Kabir Singh,"Drama, Romance"
589615,Raat Akeli Hai,"Crime, Mystery, Thriller"
611748,Housefull 4,"Comedy, Drama, Romance"
277432,Happy New Year,"Action, Comedy, Crime"
166874,Ittefaq,"Crime, Mystery, Thriller"
452606,Sultan,"Romance, Family, Comedy"
338065,Dil Dhadakne Do,"Drama, Family, Romance"
1005581,Dhokha: Round D Corner,"Crime, Thriller"
364116,The Other Side of the Door,"Thriller, Horror"
475250,Omerta,"Action, Drama"
21265,Maqbool,"Crime, Drama"
1177157,Satya,"Crime, Thriller, Drama"
43557,Merry Christmas,Comedy
710961,Cirkus,
323517,Badlapur,"Crime, Thriller, Action, Adventure"
533237,Karwaan,"Adventure, Comedy"
370236,Kaun Kitney Paani Mein,"Drama, Comedy, Family"
454776,Fukrey,"Comedy, Drama"
1081768,Mili,"Drama, Thriller"
14072,Rab Ne Bana Di Jodi,"Comedy, Drama, Romance"
441909,Tiger Zinda Hai,"Action, Adventure, Thriller"
191726,Ugly,"Thriller, Drama, Mystery, Crime"
42966,Once Upon a Time in Mumbaai,"Drama, Thriller, Crime"
881983,Salaam Venky,Drama
1019638,Faraaz,"Action, Thriller"
224260,Vadh,"Mystery, Thriller"
12259,Sholay,Action
1142643,1920: Horrors of the Heart,"Horror, Drama"
507941,Section 375,"Drama, Crime, Thriller"
824744,Shiddat,"Romance, Drama"
346685,The Girl on the Train,"Thriller, Mystery, Drama, Crime"
332835,Piku,"Comedy, Drama"
1112552,Kennedy,"Crime, Thriller"
1300772,Takht,"History, Action, Drama"
140846,Company,"Comedy, Drama"
82825,Kahaani,"Mystery, Thriller"
21210,Dil Se..,"Drama, Romance"
1163194,Laapataa Ladies,"Comedy, Drama"
731686,Goodbye,"Drama, TV Movie"
554600,Uri: The Surgical Strike,"Action, Drama, War"
592508,Sooryavanshi,"Action, Crime, Thriller"
447109,Tamasha,Drama
1103937,Operation Mayfair,"Crime, Thriller"
18808,Highway,"Action, Adventure, Drama"
84858,Agneepath,"Action, Crime, Drama"
885515,Lootera,"Action, Drama, Music, Romance"
755836,Chandigarh Kare Aashiqui,"Drama, Romance, Crime"
44977,Dhoom:3,"Action, Crime"
572154,Dream Girl,"Animation, Romance, Drama, Fantasy"
14071,Dostana,"Drama, Comedy, Romance"
10155,U Turn,"Crime, Drama, Thriller"
695969,Haseen Dillruba,"Mystery, Crime, Thriller, Romance"
539686,Shamshera,"Action, Drama, Adventure"
850837,Blurr,"Horror, Thriller"
467106,Bareilly Ki Barfi,"Romance, Comedy"
941596,Thar,"Western, Action, Thriller, Drama, Crime"
936622,Bade Miyan Chote Miyan,"Action, Science Fiction, Thriller"
1009432,Uunchai,"Comedy, Drama, Family"
36204,No Smoking,"Thriller, Drama"
796207,Dobaaraa,"Science Fiction, Mystery, Thriller"
714338,Bulbbul,"Horror, Fantasy"
374173,Kapoor & Sons,"Drama, Romance"
19150,The Crew,"Action, Comedy, Crime"
975533,The Archies,"Comedy, Drama, Music, Romance"
781809,Mumbaikar,"Crime, Drama"
421701,Yodha,"Drama, Action"
944410,Jalsa,"Drama, Thriller"
471177,Game Changer,"Documentary, Horror"
21625,Gulaal,"Crime, Drama"
503838,Raid,"Crime, Drama, Thriller, Action"
28740,Black Friday,"Crime, Drama"
613446,The Sky Is Pink,"Romance, Drama, Comedy"
138122,Student of the Year,"Comedy, Drama, Romance"
14073,Jodhaa Akbar,"Romance, History, Drama"
1089624,Jersey,Comedy
911645,Gehraiyaan,"Romance, Drama"
496339,Dabangg 3,"Action, Comedy, Crime"
247645,Queen,"Comedy, Drama"
35053,Darr,"Drama, Thriller, Action, Romance"
628241,Ala Vaikunthapurramuloo,"Action, Comedy, Drama"
44977,Dhoom,"Action, Crime"
898976,Kolai,"Crime, Thriller, Mystery"
534075,Super 30,Drama
408624,A Death in the Gunj,"Drama, Thriller"
14194,Dhoom:2,"Drama, Action, Thriller, Crime"
403867,Kaabil,"Action, Thriller, Drama"
454776,Fukrey Returns,"Comedy, Drama"
1209514,Shootout at Byculla,Thriller
325138,Dum Laga Ke Haisha,"Comedy, Drama, Romance"
276935,Ek Villain,"Action, Crime, Romance, Thriller"
280690,Kick,"Action, Romance, Comedy, Crime"
1279968,Shaitan,Drama
729700,Raksha Bandhan,"Comedy, Drama, Family"
1022789,2,"Animation, Family, Adventure, Comedy, Drama"
1146210,Housefull 5,"Comedy, Drama, Romance"
956757,Cuttputlli,"Crime, Mystery, Thriller, Drama"
65521,Pyaar Ka Punchnama,"Drama, Comedy, Romance"
15419,Kabhi Haan Kabhi Naa,"Comedy, Drama, Romance"
16345,Billu,"Comedy, Drama"
645484,Dil Bechara,"Drama, Romance"
14467,Jaane Tu... Ya Jaane Na,"Drama, Comedy, Romance"
19025,Bhool Bhulaiyaa,"Comedy, Horror, Thriller"
21614,Hera Pheri,"Comedy, Crime"
192558,Aashiqui 2,"Drama, Romance"
310123,Zid,"Thriller, Romance"
24613,Kurbaan,"Crime, Drama, Romance, Thriller, Action"
802403,Ajeeb Daastaans,"Drama, Romance"
496524,Simmba,"Action, Comedy, Crime, Drama"
425822,The Raid,Action
147405,Dabangg,"Action, Comedy, Crime"
989017,Waltair Veerayya,"Action, Drama"
801049,Jogira Sara Ra Ra,"Romance, Comedy"
1262940,Checkmate,
32740,Krrish,"Action, Science Fiction"
41902,Baadshah,"Action, Comedy"
540313,Udaan,"Action, Drama, Crime, Thriller"
7509,Water,"Drama, Romance"
41518,Guzaarish,"Drama, Romance"
25516,Koi... Mil Gaya,"Science Fiction, Action, Adventure"
13986,Dil To Pagal Hai,"Drama, Romance, Comedy"
157129,Table No.21,"Adventure, Thriller"
168114,Murder 3,"Thriller, Drama, Mystery"
682868,Taish,Documentary
441889,Secret Superstar,"Drama, Music"
712863,Dhaakad,Action
624102,Sarkar,"Action, Drama"
1020951,Chandu Champion,Drama
411404,Major,Documentary
529106,Doctor G,"Action, Adventure"
429662,Viceroy's House,"Drama, History"
70590,Singham,"Drama, Action, Crime"
388333,M.S. Dhoni: The Untold Story,Drama
37265,All Ladies Do It,"Comedy, Drama"
206324,Bhaag Milkha Bhaag,"History, Drama"
527511,Bhavesh Joshi Superhero,"Action, Drama"
79990,Desi Boyz,"Comedy, Drama"
542460,Pataakha,"Action, Comedy, Drama"
56338,7 Khoon Maaf,"Drama, Mystery, Thriller"
606717,Angrezi Medium,"Drama, Comedy"
1046714,Janaki Jaane,"Drama, Comedy, Family"
1233297,Shahid,"Drama, History"
222951,B.A. Pass,Drama
495930,Radhe,Action
787163,Liger,"Action, Romance"
