Title,Vote_Average,Vote_Count,Weighted_Average
ishq click,5.0,3.0,4.528269896193772
m cream,6.0,6.0,5.022615916955018
madaari,0.0,0.0,4.371026528258363
dishoom,5.341,83.0,5.2461112908078835
fever,4.4,5.0,4.381374196737519
rustom,0.0,0.0,4.371026528258363
hai apna dil toh awara,0.0,0.0,4.371026528258363
mohenjo daro,6.237,78.0,6.043968261543968
happy bhag jayegi,6.2,29.0,5.7668220724822445
waarrior savitri,2.5,5.0,3.7028027681660904
a flying jatt,3.028,36.0,3.296605305651672
baar baar dekho,5.843,54.0,5.632718075465481
freaky ali,5.526,19.0,5.154758526940188
raaz: reboot,4.109,23.0,4.182694961072665
pink,5.0,8.0,4.667014044372074
parched,7.4,85.0,7.1099919016417585
banjo,4.6,10.0,4.491538881806593
days of tafree,0.0,0.0,4.371026528258363
wah taj,8.5,2.0,5.121748977665933
island city,8.0,4.0,5.487633750332713
ek kahani julie ki,5.0,1.0,4.4339238754325265
m.s. dhoni: the untold story,7.16,163.0,7.014065341594915
msg: the warrior lion heart,7.0,1.0,4.633923875432527
devi,5.0,1.0,4.4339238754325265
motu patlu: king of kings,9.0,4.0,5.7953260580250205
anna,6.717,2626.0,6.708987187383046
fuddu,10.0,1.0,4.9339238754325265
saat uchakkey,5.2,4.0,4.626095288794251
beiimaan love,2.8,8.0,3.6317199267250153
umrika,5.9,34.0,5.579982296612216
shivaay,5.78,59.0,5.593518216975372
dongari ka raja,0.0,0.0,4.371026528258363
ae dil hai mushkil,6.431,196.0,6.3405621402650025
tum bin ii,7.0,11.0,5.816961937716263
rock on 2,4.5,11.0,4.441961937716263
force 2,6.7,89.0,6.486114681166585
dear zindagi,7.057,221.0,6.951896690236196
befikre,5.17,53.0,5.054019979908472
moh maya money,5.0,3.0,4.528269896193772
shorgul,4.9,4.0,4.533787596486559
saansein,6.2,5.0,5.024231339594662
ki & ka,5.467,61.0,5.326089125061789
wajah tum ho,5.176,17.0,4.897355336704818
dangal,7.9,936.0,7.866390728840557
mirzya,6.2,19.0,5.612115669797332
prem ratan dhan payo,5.443,105.0,5.358370515388818
tanu weds manu: returns,6.821,137.0,6.669974238043324
tanu weds manu: returns,6.821,137.0,6.669974238043324
31st october,7.0,1.0,4.633923875432527
abcd 2,5.551,79.0,5.430320894935514
dilwale,6.538,13.0,5.65151085246933
bajrangi bhaijaan,7.8,463.0,7.734617031259164
bajirao mastani,7.274,272.0,7.181022201972687
welcome back,5.065,62.0,4.97703153175106
baby,0.0,0.0,4.371026528258363
singh is bliing,5.472,71.0,5.3481404844290665
gabbar is back,6.991,111.0,6.794501989619377
gabbar is back,6.991,111.0,6.794501989619377
mumbai can dance saala,0.0,0.0,4.371026528258363
alone,6.316,685.0,6.290777001086925
tevar,5.161,31.0,4.983255968858131
sharafat gayi tel lene,2.7,3.0,3.9532698961937722
dolly ki doli,5.2,25.0,4.980565845715449
hawaizaada,5.4,14.0,4.997358206709794
khamoshiyan,0.0,0.0,4.371026528258363
rahasya,0.0,0.0,4.371026528258363
jai jawaan jai kisaan,0.0,0.0,4.371026528258363
shamitabh,6.31,50.0,6.01422438566653
roy,0.0,0.0,4.371026528258363
badlapur,6.9,128.0,6.7338630566009146
crazy cukkad family,0.0,0.0,4.371026528258363
take it easy,7.026,57.0,6.663958162944322
qissa,6.1,16.0,5.47756955017301
ab tak chhappan 2,5.4,9.0,4.885513264129181
dum laga ke haisha,7.172,119.0,6.975056552768166
dirty politics,2.8,5.0,3.8099456253089476
msg: the messenger,0.0,0.0,4.371026528258363
badmashiyaan,5.0,1.0,4.4339238754325265
coffee bloom,0.0,0.0,4.371026528258363
hey bro,3.5,2.0,4.212658068575024
nh10,6.8,75.0,6.539752842313396
hunterrr,6.4,29.0,5.919453651429613
detective byomkesh bakshy!,6.736,91.0,6.523152387543252
luckhnowi ishq,7.0,1.0,4.633923875432527
court,6.8,61.0,6.487703410776075
margarita with a straw,6.9,74.0,6.6257739608954855
ek paheli leela,4.7,15.0,4.576634948096886
barkhaa,4.6,9.0,4.485513264129182
mr. x,5.2,19.0,4.933544241225903
nh-8 road to nidhivan,3.8,2.0,4.267203523120479
dilliwali zaalim girlfriend,0.0,0.0,4.371026528258363
dharam sankat mein,6.5,17.0,5.763047644397125
kaagaz ke fools,3.0,3.0,4.028269896193772
kuch kuch locha hai,4.5,6.0,4.422615916955018
piku,7.003,184.0,6.880265485773707
bombay velvet,5.5,40.0,5.292637525598475
i love desi,3.3,6.0,3.9426159169550177
dil dhadakne do,6.769,134.0,6.618078592687589
welcome 2 karachi,3.4,4.0,4.072249134948097
p se pm tak,2.5,2.0,4.0308398867568425
mere genie uncle,0.0,0.0,4.371026528258363
hamari adhuri kahani,6.282,39.0,5.923692474048443
miss tanakpur haazir ho,6.0,3.0,4.778269896193772
uvaa,0.0,0.0,4.371026528258363
ishq ke parindey,0.0,0.0,4.371026528258363
ishqedarriyaan,5.0,1.0,4.4339238754325265
sabki bajegi band,0.0,0.0,4.371026528258363
masaan,6.976,167.0,6.8427911292859385
guddu rangeela,4.6,7.0,4.471202422145328
bezubaan ishq,0.0,0.0,4.371026528258363
aisa yeh jahaan,7.0,1.0,4.633923875432527
second hand husband,3.0,2.0,4.121748977665933
i love ny,4.5,12.0,4.44472565496787
main hoon part-time killer,0.0,0.0,4.371026528258363
kaun kitne paani mein,0.0,0.0,4.371026528258363
drishyam,0.0,0.0,4.371026528258363
bangistan,5.9,12.0,5.24472565496787
all is well,9.0,1.0,4.833923875432527
brothers,7.324,3484.0,7.316391422489071
gour hari dastaan,8.0,2.0,5.0308398867568425
manjhi – the mountain man,7.368,68.0,7.017704399406822
thoda lutf thoda ishq,5.0,2.0,4.485385341302297
phantom,5.84,307.0,5.798162147956725
hero,6.277,466.0,6.240886818430158
sorry daddy,0.0,0.0,4.371026528258363
talvar,7.459,160.0,7.294551708605476
katti batti,5.4,16.0,5.029569550173011
meeruthiya gangsters,4.0,1.0,4.333923875432527
msg-2 the messenger,0.5,1.0,3.9839238754325264
calendar girls,6.541,366.0,6.488920636678202
bhaag johnny,6.0,6.0,5.022615916955018
jazbaa,6.9,31.0,6.330980968858132
bumper draw,7.0,2.0,4.849021704938661
chinar daastaan-e-ishq,6.0,2.0,4.667203523120478
kis kisko pyaar karoon,5.793,29.0,5.456216809324349
pyaar ka punchnama 2,6.684,68.0,6.413652451354873
wedding pullav,3.0,5.0,3.881374196737519
shaandaar,4.4,57.0,4.396049072035232
titli,6.8,31.0,6.253480968858131
guddu ki gun,5.4,7.0,4.82120242214533
the silent heroes,7.5,2.0,4.939930795847752
ranbanka,8.0,1.0,4.733923875432526
sholay,7.0,260.0,6.912041779755857
dedh ishqiya,6.5,38.0,6.092324228815431
karle pyaar karle,0.0,0.0,4.371026528258363
om-dar-b-dar,6.8,10.0,5.649433618648698
paranthe wali gali,4.0,2.0,4.303567159484115
strings of passion,0.0,0.0,4.371026528258363
gunday,5.015,100.0,4.961827878480047
jai ho,5.0,86.0,4.940413039519213
hasee toh phasee,6.547,96.0,6.3604879881364305
heartless,5.858,151.0,5.774357742214533
ya rab,4.0,3.0,4.278269896193772
darr @ the mall,3.8,13.0,4.03360176156024
one by two,4.5,6.0,4.422615916955018
babloo happy hai,5.5,2.0,4.576294432211387
highway,5.6,125.0,5.517457005629293
gulabi gang,7.5,1.0,4.6839238754325265
shaadi ke side effects,5.467,30.0,5.214083044982699
gulaab gang,6.2,16.0,5.54156955017301
queen,7.4,259.0,7.298280741620617
bewakoofiyaan,5.618,38.0,5.379217845836708
total siyapaa,4.441,17.0,4.4167784136278945
dee saturday night,0.0,0.0,4.371026528258363
karar: the deal,0.0,0.0,4.371026528258363
lakshmi,6.0,11.0,5.266961937716263
ragini mms 2,4.017,29.0,4.100848388271717
dishkiyaoon,3.8,9.0,4.0855132641291805
ankhon dekhi,6.9,54.0,6.53871807546548
gang of ghosts,4.0,4.0,4.256864519563482
anuradha,0.0,0.0,4.371026528258363
w,7.358,317.0,7.275537542191182
o teri,2.2,4.0,3.7030183657173277
honour killing,9.0,1.0,4.833923875432527
2 states,6.514,142.0,6.38627310433328
jal,7.2,6.0,5.502615916955018
bhoothnath returns,6.306,67.0,6.0768584046621745
main tera hero,5.359,116.0,5.287865910034602
lucky kabootar,0.0,0.0,4.371026528258363
station,0.0,0.0,4.371026528258363
youngistaan,5.0,14.0,4.753879945840229
samrat & co.,5.0,4.0,4.56455682725579
purani jeans,4.8,6.0,4.542615916955017
kya dilli kya lahore,7.5,8.0,5.843484632607368
koyelaanchal,6.9,4.0,5.149172211871174
manjunath,7.0,1.0,4.633923875432527
dekh tamasha dekh,6.833,6.0,5.355815916955018
mastram,3.7,6.0,4.102615916955018
the xposé,4.8,8.0,4.572896397313251
children of war,0.0,0.0,4.371026528258363
hawaa hawaai,7.3,13.0,6.101783579742056
kahin hai mera pyar,0.0,0.0,4.371026528258363
kuku mathur ki jhand ho gayi,5.8,6.0,4.942615916955018
heropanti,5.784,58.0,5.594197593348138
citylights,0.0,0.0,4.371026528258363
filmistaan,6.9,15.0,5.951634948096886
revolver rani,3.7,7.0,4.077452422145329
kaanchi: the unbreakable,0.0,0.0,4.371026528258363
machhli jal ki rani hai,4.5,4.0,4.4107106734096355
khwaabb,7.0,1.0,4.633923875432527
yeh hai bakrapur,3.5,4.0,4.103018365717328
ek villain,6.4,61.0,6.139131982204647
bobby jasoos,5.6,29.0,5.308927335640138
humshakals,3.267,45.0,3.4510044213763935
humpty sharma ki dulhania,6.31,100.0,6.149901272975461
hate story 2,4.6,29.0,4.545769440903296
lekar hum deewana dil,7.3,3.0,5.103269896193772
riyasat,10.0,1.0,4.9339238754325265
amit sahni ki list,6.0,1.0,4.533923875432526
holiday: a soldier is never off duty,6.21,126.0,6.087401768550558
fugly,4.5,10.0,4.438907302859224
bazaar e husn,0.0,0.0,4.371026528258363
pizza,4.5,11.0,4.441961937716263
entertainment,5.6,63.0,5.446378316032295
singham returns,5.988,85.0,5.833183391003461
mardaani,6.628,98.0,6.438161109853507
raja natwarlal,6.3,24.0,5.773916325888644
mary kom,7.1,92.0,6.8568241460824275
creature 3d,3.462,13.0,3.8338744888329668
finding fanny,5.4,43.0,5.2219084375831795
khoobsurat,4.909,11.0,4.666911937716263
3 a.m.,5.052,29.0,4.890716809324348
kick,5.7,145.0,5.62233271918393
mad about dance,4.5,2.0,4.394476250393206
mumbhai connection,0.0,0.0,4.371026528258363
life is beautiful,8.451,12804.0,8.44813417925188
desi kattey,6.0,1.0,4.533923875432526
haider,7.2,217.0,7.08734176439967
bang bang!,7.533,198.0,7.3955228925329735
spark,0.0,0.0,4.371026528258363
daawat-e-ishq,6.8,50.0,6.429478622954665
balwinder singh famous ho gaya,0.0,0.0,4.371026528258363
jigariyaa,0.0,0.0,4.371026528258363
tamanchey,3.5,4.0,4.103018365717328
mumbai 125 km,4.0,4.0,4.256864519563482
meinu ek ladki chaahiye,3.0,1.0,4.233923875432526
chaarfutiya chhokare,0.0,0.0,4.371026528258363
sonali cable,5.25,8.0,4.784661103195604
happy new year,6.1,248.0,6.039452290872861
super nani,7.2,6.0,5.502615916955018
ekkees toppon ki salaami,5.0,5.0,4.595659911023233
rang rasiya,6.2,19.0,5.612115669797332
the shaukeens,4.525,20.0,4.477215129459492
roar: tigers of the sundarbans,5.4,5.0,4.7385170538803765
a decent arrangement,4.7,3.0,4.453269896193772
gollu aur pappu,4.7,3.0,4.453269896193772
titoo mba,5.25,5.0,4.684945625308948
kill dil,5.27,37.0,5.094113885963592
ungli,5.6,25.0,5.2746834927742725
happy ending,5.887,71.0,5.716452984429066
zed plus,7.3,3.0,5.103269896193772
zid,4.4,7.0,4.38370242214533
action jackson,5.511,228.0,5.46770986816171
bhopal: a prayer for rain,6.396,24.0,5.843734507706826
mumbai delhi mumbai,6.3,5.0,5.059945625308948
badlapur boys,1.0,1.0,4.033923875432526
main aur mr. riight,4.7,3.0,4.453269896193772
ugly,6.932,111.0,6.739926989619377
pk,10.0,1.0,4.9339238754325265
dehraadun diary,5.0,1.0,4.4339238754325265
matru ki bijlee ka mandola,5.513,40.0,5.303249770496434
sulemani keeda,7.0,7.0,5.521202422145329
inkaar,5.4,21.0,5.091307958477509
gangoobai,7.5,2.0,4.939930795847752
akaash vani,5.591,12.0,5.068154226396441
main krishna hoon,6.439,49.0,6.118107564729747
race 2,5.425,100.0,5.337974667470874
bandook,9.8,2.0,5.35811261402957
listen... amaya,7.0,3.0,5.028269896193772
special 26,7.278,189.0,7.145864842193562
murder 3,3.6,25.0,3.8040952574801548
zila ghaziabad,4.0,15.0,4.139134948096886
kai po che!,6.964,124.0,6.788535629731769
bloody isshq,5.0,2.0,4.485385341302297
saare jahaan se mehnga,7.0,7.0,5.521202422145329
3g,3.5,11.0,3.891961937716263
mere dad ki maruti,6.3,22.0,5.739975443687912
jolly llb,7.077,110.0,6.872346544153994
saheb biwi aur gangster returns,6.8,25.0,6.1570364339507435
mai,7.9,7.0,5.91495242214533
vishwaroopam,6.224,85.0,6.0465876463226085
rangrezz,4.9,6.0,4.582615916955018
aashiqui 2,6.84,144.0,6.6947662663681395
ek thi daayan,4.9,29.0,4.7747168093243495
himmatwala,4.25,4.0,4.333787596486559
nautanki saala!,5.2,23.0,4.966851211072665
jayantabhai ki luv story,5.0,10.0,4.702065197596067
commando: a one man army,6.385,52.0,6.087856373021725
bombay talkies,6.4,55.0,6.114675605536332
go goa gone,5.752,101.0,5.639011261402957
gippi,6.0,2.0,4.667203523120478
